distance,weather,stealth,engine_heat,noise,radar,infrared,acoustic,target
83.5,Clear,0.227,0.7,0.854,0.08,0.02,0.04,0
78.5,Fog,0.627,0.456,0.323,0.0,0.0,0.05,0
87.9,Fog,0.952,0.085,0.008,0.0,0.01,0.0,0
39.2,Rain,0.06,0.643,0.786,0.0,0.0,0.0,0
69.8,Rain,0.66,0.381,0.434,0.01,0.02,0.0,0
64.2,Clear,0.064,0.803,0.843,0.43,0.04,0.01,0
18.7,Rain,0.117,0.632,0.759,0.03,0.03,0.0,0
64.1,Rain,0.239,0.615,0.817,0.0,0.04,0.08,0
70.0,Rain,0.954,0.05,0.0,0.0,0.01,0.01,0
79.1,Fog,0.723,0.338,0.324,0.0,0.01,0.05,0
24.8,Clear,0.89,0.227,0.691,0.0,0.0,0.01,0
62.6,Rain,0.232,0.77,0.826,0.03,0.0,0.0,0
29.7,Fog,0.178,0.73,0.867,0.62,0.01,0.0,0
19.5,Clear,0.742,0.329,0.398,0.06,0.05,0.02,0
91.2,Fog,0.026,0.874,0.776,0.18,0.0,0.0,0
37.1,Rain,0.729,0.392,0.432,0.0,0.04,0.04,0
85.0,Rain,0.089,0.826,0.809,0.0,0.0,0.0,0
51.2,Rain,0.966,0.25,0.629,0.0,0.0,0.0,0
47.7,Clear,0.187,0.712,0.769,0.44,0.09,0.07,0
20.3,Fog,0.6,0.395,0.415,0.06,0.09,0.0,0
62.3,Fog,0.897,0.229,0.532,0.01,0.0,0.0,0
50.8,Clear,0.384,0.407,0.608,0.22,0.06,0.0,0
27.7,Fog,0.495,0.338,0.616,0.64,0.0,0.11,0
10.6,Rain,0.987,0.076,0.0,0.0,0.06,0.0,0
89.9,Fog,0.943,0.047,0.0,0.02,0.05,0.0,0
53.3,Clear,0.946,0.244,0.512,0.0,0.06,0.0,0
41.9,Clear,0.757,0.584,0.585,0.0,0.03,0.02,0
92.7,Rain,0.267,0.415,0.15,0.06,0.03,0.01,0
14.0,Rain,0.07,0.871,0.842,0.86,0.18,0.01,1
93.6,Clear,0.716,0.481,0.191,0.0,0.01,0.03,0
68.4,Clear,0.761,0.557,0.643,0.02,0.01,0.0,0
11.5,Clear,0.626,0.573,0.599,0.08,0.27,0.0,0
86.8,Clear,0.546,0.344,0.335,0.0,0.0,0.03,0
69.2,Rain,0.426,0.402,0.134,0.01,0.0,0.0,0
80.4,Clear,0.071,0.632,0.815,0.01,0.01,0.0,0
53.7,Clear,0.243,0.758,0.83,0.35,0.05,0.0,0
9.3,Rain,0.086,0.72,0.852,1.0,0.3,0.0,1
83.3,Clear,0.218,0.629,0.788,0.13,0.0,0.0,0
76.0,Fog,0.971,0.064,0.0,0.06,0.03,0.0,0
85.6,Rain,0.507,0.336,0.395,0.0,0.0,0.0,0
44.3,Rain,0.663,0.607,0.557,0.0,0.03,0.0,0
37.7,Clear,0.139,0.739,0.828,0.26,0.12,0.0,0
81.0,Clear,0.111,0.756,0.765,0.0,0.03,0.0,0
58.8,Fog,0.545,0.289,0.409,0.02,0.05,0.0,0
22.3,Clear,0.368,0.551,0.357,0.34,0.1,0.04,0
47.4,Clear,0.64,0.321,0.42,0.05,0.04,0.04,0
64.2,Clear,0.935,0.08,0.006,0.0,0.0,0.0,0
65.1,Rain,0.525,0.334,0.446,0.0,0.02,0.04,0
16.7,Clear,0.445,0.332,0.493,0.47,0.1,0.02,0
37.8,Fog,0.768,0.401,0.357,0.03,0.0,0.01,0
41.5,Clear,0.304,0.505,0.477,0.54,0.05,0.06,0
83.1,Rain,0.892,0.321,0.658,0.0,0.0,0.0,0
67.9,Clear,0.02,0.772,0.765,0.77,0.01,0.0,0
27.6,Rain,0.033,0.809,0.846,0.1,0.0,0.0,0
5.9,Clear,0.2,0.798,0.848,0.98,0.91,0.11,1
62.8,Fog,0.742,0.34,0.39,0.0,0.0,0.0,0
19.0,Rain,0.875,0.27,0.611,0.0,0.04,0.02,0
27.4,Rain,0.235,0.168,0.271,0.0,0.0,0.0,0
24.9,Fog,0.121,0.791,0.884,0.2,0.0,0.04,0
79.9,Rain,0.733,0.321,0.406,0.02,0.0,0.0,0
71.3,Fog,0.005,0.789,0.769,0.03,0.06,0.0,0
41.8,Clear,0.118,0.695,0.801,0.46,0.06,0.02,0
41.3,Fog,0.095,0.814,0.866,0.88,0.02,0.03,0
84.8,Rain,0.733,0.344,0.315,0.07,0.03,0.04,0
70.6,Rain,0.663,0.684,0.599,0.0,0.04,0.0,0
49.0,Clear,0.98,0.214,0.522,0.01,0.0,0.0,0
63.3,Rain,0.033,0.868,0.855,0.01,0.07,0.0,0
55.9,Clear,0.525,0.387,0.338,0.05,0.03,0.05,0
74.6,Clear,0.674,0.321,0.302,0.0,0.05,0.03,0
86.2,Clear,0.606,0.235,0.136,0.15,0.01,0.0,0
71.1,Clear,0.551,0.704,0.329,0.0,0.05,0.0,0
69.7,Fog,0.885,0.243,0.689,0.0,0.06,0.0,0
43.6,Rain,0.926,0.061,0.0,0.02,0.0,0.0,0
75.5,Clear,0.727,0.512,0.671,0.1,0.01,0.01,0
64.7,Fog,0.977,0.061,0.018,0.0,0.0,0.0,0
67.7,Clear,0.716,0.265,0.392,0.0,0.03,0.0,0
6.7,Fog,0.584,0.287,0.123,0.05,0.27,0.06,0
7.3,Fog,0.902,0.269,0.532,0.0,0.05,0.0,0
80.4,Clear,0.772,0.554,0.558,0.0,0.0,0.05,0
72.4,Fog,0.703,0.368,0.397,0.0,0.04,0.02,0
52.7,Clear,0.669,0.34,0.333,0.07,0.0,0.03,0
6.3,Clear,0.735,0.473,0.632,0.93,0.41,0.02,1
45.1,Clear,0.903,0.267,0.583,0.03,0.05,0.0,0
58.6,Fog,0.971,0.04,0.0,0.02,0.04,0.07,0
39.2,Rain,0.954,0.085,0.041,0.0,0.01,0.03,0
19.4,Fog,0.694,0.438,0.398,0.09,0.02,0.02,0
38.8,Rain,0.189,0.777,0.773,0.02,0.0,0.0,0
53.5,Fog,0.657,0.498,0.649,0.02,0.04,0.0,0
78.3,Clear,0.711,0.566,0.266,0.0,0.01,0.0,0
91.3,Fog,0.652,0.55,0.694,0.03,0.01,0.0,0
67.1,Fog,0.695,0.369,0.367,0.03,0.0,0.0,0
68.4,Fog,0.037,0.782,0.773,0.24,0.0,0.0,0
63.7,Fog,0.962,0.056,0.0,0.04,0.0,0.02,0
60.7,Clear,0.597,0.385,0.413,0.04,0.04,0.0,0
9.1,Rain,0.135,0.716,0.922,0.89,0.29,0.04,1
73.1,Fog,0.647,0.344,0.378,0.0,0.02,0.06,0
86.1,Fog,0.948,0.085,0.0,0.0,0.01,0.0,0
34.1,Fog,0.735,0.4,0.257,0.11,0.0,0.04,0
85.7,Clear,0.674,0.568,0.581,0.03,0.0,0.0,0
75.6,Fog,0.765,0.306,0.691,0.0,0.0,0.0,0
22.7,Clear,0.096,0.714,0.929,0.87,0.23,0.04,1
43.4,Rain,0.748,0.381,0.344,0.0,0.0,0.04,0
41.8,Fog,0.204,0.622,0.8,0.38,0.05,0.0,0
69.8,Fog,0.125,0.734,0.909,0.12,0.0,0.12,0
58.6,Clear,0.515,0.354,0.334,0.03,0.0,0.04,0
44.8,Rain,0.934,0.09,0.0,0.01,0.0,0.05,0
68.4,Rain,0.186,0.758,0.869,0.02,0.02,0.01,0
84.5,Clear,0.159,0.769,0.833,0.09,0.04,0.0,0
37.1,Clear,0.278,0.147,0.112,0.14,0.0,0.0,0
55.8,Clear,0.756,0.492,0.638,0.0,0.01,0.04,0
21.1,Fog,0.975,0.077,0.0,0.0,0.03,0.0,0
5.3,Rain,0.065,0.712,0.937,1.0,0.78,0.18,1
60.0,Fog,0.096,0.8,0.758,0.66,0.0,0.0,0
90.7,Clear,0.018,0.696,0.866,0.47,0.0,0.0,0
53.4,Clear,0.149,0.753,0.884,0.51,0.12,0.0,0
63.4,Fog,0.458,0.654,0.417,0.03,0.03,0.0,0
17.3,Clear,0.244,0.76,0.931,0.89,0.34,0.05,1
19.2,Fog,0.566,0.398,0.387,0.1,0.08,0.02,0
94.4,Rain,0.874,0.302,0.691,0.0,0.0,0.02,0
40.8,Fog,0.746,0.488,0.693,0.03,0.04,0.0,0
12.9,Rain,0.033,0.741,0.804,0.84,0.16,0.0,0
81.3,Fog,0.6,0.32,0.392,0.0,0.0,0.05,0
44.5,Clear,0.724,0.318,0.35,0.05,0.03,0.0,0
45.7,Clear,0.073,0.836,0.897,0.88,0.06,0.0,0
9.1,Fog,0.121,0.641,0.793,0.84,0.44,0.03,1
31.3,Fog,0.073,0.895,0.757,0.75,0.0,0.0,0
65.4,Fog,0.166,0.682,0.844,0.04,0.0,0.03,0
31.2,Clear,0.962,0.07,0.0,0.0,0.0,0.05,0
33.8,Clear,0.661,0.257,0.407,0.05,0.04,0.0,0
70.5,Rain,0.091,0.814,0.887,0.0,0.0,0.06,0
89.4,Fog,0.164,0.829,0.762,0.01,0.02,0.02,0
86.3,Clear,0.661,0.342,0.387,0.02,0.06,0.0,0
56.1,Fog,0.639,0.344,0.309,0.0,0.06,0.0,0
78.6,Fog,0.634,0.597,0.57,0.04,0.02,0.01,0
38.5,Rain,0.503,0.502,0.687,0.07,0.0,0.0,0
93.3,Clear,0.559,0.276,0.412,0.0,0.0,0.05,0
55.9,Fog,0.06,0.727,0.767,0.29,0.03,0.0,0
88.5,Clear,0.053,0.793,0.873,0.24,0.0,0.01,0
28.5,Rain,0.08,0.683,0.758,0.24,0.0,0.0,0
11.7,Clear,0.943,0.059,0.0,0.0,0.0,0.0,0
31.3,Clear,0.125,0.66,0.766,0.19,0.11,0.03,0
66.9,Clear,0.017,0.724,0.792,0.72,0.04,0.0,0
56.1,Fog,0.006,0.903,0.831,0.68,0.05,0.05,0
40.9,Rain,0.01,0.831,0.778,0.15,0.0,0.03,0
21.1,Fog,0.164,0.785,0.927,0.29,0.01,0.02,0
52.1,Rain,0.708,0.503,0.641,0.0,0.02,0.03,0
31.5,Clear,0.409,0.419,0.556,0.6,0.05,0.04,0
83.0,Fog,0.551,0.349,0.373,0.01,0.03,0.04,0
61.3,Rain,0.948,0.074,0.0,0.05,0.01,0.0,0
66.9,Rain,0.914,0.228,0.571,0.01,0.04,0.02,0
22.8,Clear,0.637,0.31,0.332,0.18,0.05,0.03,0
19.8,Clear,0.694,0.396,0.416,0.03,0.08,0.0,0
66.1,Rain,0.553,0.419,0.388,0.03,0.04,0.0,0
57.5,Fog,0.322,0.659,0.473,0.14,0.06,0.0,0
89.3,Clear,0.568,0.39,0.376,0.04,0.02,0.0,0
25.5,Rain,0.925,0.053,0.0,0.02,0.0,0.07,0
56.0,Rain,0.778,0.576,0.631,0.0,0.04,0.0,0
73.4,Fog,0.538,0.674,0.15,0.06,0.0,0.0,0
12.6,Clear,0.637,0.594,0.62,0.1,0.29,0.07,0
57.4,Clear,0.665,0.525,0.58,0.02,0.01,0.1,0
79.7,Clear,0.629,0.146,0.648,0.0,0.03,0.02,0
36.7,Clear,0.028,0.854,0.899,0.86,0.14,0.0,0
92.2,Rain,0.575,0.251,0.445,0.0,0.03,0.04,0
85.4,Fog,0.061,0.738,0.826,0.06,0.03,0.0,0
27.1,Rain,0.736,0.305,0.364,0.0,0.04,0.02,0
87.6,Clear,0.706,0.55,0.557,0.03,0.0,0.0,0
74.3,Fog,0.562,0.497,0.38,0.03,0.0,0.02,0
11.0,Rain,0.708,0.357,0.337,0.19,0.05,0.1,0
9.8,Clear,0.704,0.285,0.43,0.25,0.11,0.0,0
71.2,Fog,0.236,0.735,0.889,0.02,0.04,0.0,0
82.9,Fog,0.739,0.466,0.138,0.02,0.0,0.0,0
23.4,Clear,0.006,0.757,0.76,1.0,0.22,0.06,1
52.3,Fog,0.778,0.642,0.565,0.0,0.05,0.0,0
85.9,Rain,0.508,0.243,0.413,0.04,0.0,0.0,0
43.9,Rain,0.623,0.307,0.394,0.0,0.0,0.0,0
82.4,Rain,0.047,0.813,0.864,0.02,0.01,0.06,0
32.1,Clear,0.503,0.562,0.332,0.32,0.04,0.0,0
8.1,Fog,0.889,0.265,0.569,0.03,0.15,0.01,0
46.0,Rain,0.119,0.737,0.873,0.03,0.08,0.03,0
26.4,Rain,0.233,0.717,0.95,0.0,0.0,0.08,0
78.0,Clear,0.016,0.843,0.869,0.71,0.01,0.05,0
66.9,Clear,0.506,0.368,0.418,0.0,0.01,0.02,0
53.7,Clear,0.028,0.825,0.891,0.88,0.11,0.0,0
63.6,Clear,0.63,0.593,0.693,0.0,0.0,0.03,0
21.8,Fog,0.041,0.785,0.854,0.78,0.32,0.01,1
83.9,Fog,0.07,0.809,0.846,0.09,0.02,0.06,0
80.2,Fog,0.61,0.385,0.405,0.03,0.05,0.04,0
18.6,Rain,0.923,0.049,0.0,0.01,0.0,0.0,0
14.2,Clear,0.604,0.361,0.422,0.15,0.11,0.0,0
67.8,Rain,0.601,0.52,0.651,0.0,0.02,0.05,0
39.0,Clear,0.593,0.271,0.366,0.07,0.0,0.0,0
85.3,Clear,0.973,0.064,0.0,0.05,0.01,0.03,0
67.5,Clear,0.619,0.267,0.393,0.0,0.05,0.0,0
59.2,Clear,0.052,0.696,0.845,0.43,0.0,0.0,0
33.6,Fog,0.624,0.341,0.385,0.0,0.0,0.0,0
13.3,Clear,0.931,0.236,0.694,0.0,0.09,0.01,0
76.7,Fog,0.164,0.794,0.906,0.01,0.06,0.05,0
59.0,Rain,0.215,0.666,0.921,0.03,0.0,0.0,0
13.4,Fog,0.069,0.681,0.784,0.59,0.5,0.01,1
69.8,Rain,0.098,0.809,0.772,0.01,0.0,0.02,0
66.5,Fog,0.604,0.383,0.308,0.0,0.05,0.0,0
44.0,Fog,0.016,0.89,0.826,0.22,0.0,0.03,0
57.2,Clear,0.03,0.763,0.864,0.75,0.04,0.06,0
65.0,Rain,0.61,0.352,0.39,0.01,0.0,0.05,0
33.3,Clear,0.608,0.612,0.427,0.59,0.06,0.0,0
12.6,Fog,0.661,0.386,0.391,0.44,0.1,0.0,0
94.3,Fog,0.579,0.41,0.475,0.0,0.01,0.02,0
46.5,Rain,0.472,0.401,0.169,0.0,0.01,0.0,0
56.2,Clear,0.655,0.381,0.416,0.0,0.0,0.0,0
90.1,Clear,0.95,0.329,0.675,0.0,0.0,0.0,0
70.2,Fog,0.0,0.791,0.832,0.45,0.0,0.0,0
89.1,Rain,0.928,0.301,0.649,0.0,0.0,0.03,0
47.0,Clear,0.637,0.324,0.417,0.05,0.03,0.0,0
33.0,Clear,0.618,0.324,0.392,0.1,0.0,0.0,0
75.1,Fog,0.666,0.587,0.683,0.05,0.02,0.0,0
40.3,Rain,0.03,0.713,0.884,0.43,0.02,0.04,0
82.5,Clear,0.484,0.117,0.465,0.04,0.0,0.02,0
54.3,Fog,0.072,0.826,0.818,0.49,0.04,0.0,0
54.3,Fog,0.657,0.597,0.247,0.17,0.0,0.0,0
18.3,Fog,0.609,0.451,0.359,0.03,0.15,0.05,0
11.9,Fog,0.169,0.639,0.898,0.56,0.46,0.06,1
12.9,Clear,0.058,0.811,0.823,0.94,0.51,0.02,1
6.1,Fog,0.631,0.582,0.553,0.1,0.57,0.01,0
86.3,Clear,0.041,0.82,0.889,0.26,0.02,0.02,0
76.3,Rain,0.86,0.317,0.586,0.0,0.0,0.05,0
27.5,Rain,0.65,0.349,0.399,0.0,0.01,0.0,0
52.0,Rain,0.26,0.469,0.663,0.01,0.03,0.0,0
50.5,Fog,0.111,0.766,0.833,0.44,0.0,0.03,0
45.1,Clear,0.018,0.837,0.784,0.43,0.12,0.0,0
76.3,Clear,0.044,0.801,0.817,0.55,0.01,0.0,0
5.5,Fog,0.72,0.518,0.615,0.12,0.62,0.06,0
19.0,Rain,0.647,0.606,0.573,0.0,0.03,0.0,0
85.3,Clear,0.579,0.305,0.425,0.0,0.0,0.0,0
81.1,Fog,0.044,0.849,0.846,0.48,0.0,0.0,0
18.7,Clear,0.554,0.366,0.386,0.36,0.05,0.0,0
26.5,Fog,0.003,0.816,0.896,0.38,0.25,0.0,0
83.0,Clear,0.901,0.253,0.569,0.0,0.0,0.0,0
78.0,Clear,0.207,0.727,0.893,0.18,0.05,0.0,0
61.3,Rain,0.169,0.734,0.838,0.0,0.0,0.0,0
25.9,Rain,0.308,0.244,0.25,0.28,0.01,0.0,0
86.3,Clear,0.973,0.059,0.011,0.0,0.03,0.01,0
69.8,Rain,0.53,0.294,0.443,0.0,0.1,0.0,0
24.9,Fog,0.752,0.542,0.576,0.03,0.0,0.0,0
44.6,Clear,0.662,0.584,0.667,0.0,0.0,0.02,0
94.4,Rain,0.025,0.817,0.763,0.0,0.0,0.02,0
32.1,Clear,0.971,0.268,0.562,0.06,0.02,0.04,0
77.4,Fog,0.858,0.291,0.662,0.0,0.0,0.04,0
47.4,Rain,0.986,0.038,0.0,0.0,0.01,0.03,0
69.1,Clear,0.137,0.791,0.77,0.18,0.0,0.02,0
15.2,Fog,0.736,0.288,0.31,0.06,0.0,0.0,0
33.2,Rain,0.559,0.252,0.446,0.04,0.01,0.0,0
30.7,Clear,0.123,0.62,0.807,0.67,0.14,0.04,0
79.3,Rain,0.532,0.287,0.393,0.0,0.0,0.02,0
84.0,Rain,0.076,0.736,0.918,0.0,0.0,0.0,0
16.6,Clear,0.688,0.675,0.6,0.18,0.29,0.0,0
72.7,Clear,0.566,0.33,0.333,0.03,0.0,0.0,0
8.1,Fog,0.246,0.343,0.269,1.0,0.29,0.0,1
56.1,Fog,0.077,0.777,0.815,0.09,0.06,0.04,0
61.6,Fog,0.023,0.77,0.871,0.52,0.02,0.03,0
82.3,Fog,0.718,0.411,0.398,0.0,0.02,0.0,0
32.5,Fog,0.692,0.303,0.371,0.05,0.0,0.0,0
58.1,Rain,0.932,0.033,0.039,0.0,0.0,0.03,0
35.4,Fog,0.028,0.852,0.855,0.97,0.14,0.1,1
30.7,Fog,0.493,0.264,0.584,0.16,0.0,0.08,0
52.4,Clear,0.139,0.628,0.892,0.11,0.1,0.0,0
29.2,Fog,0.074,0.865,0.807,0.98,0.06,0.0,1
77.0,Fog,0.226,0.739,0.802,0.02,0.0,0.01,0
32.3,Clear,0.017,0.792,0.833,0.73,0.13,0.0,0
64.5,Rain,0.526,0.35,0.318,0.01,0.07,0.05,0
26.0,Fog,0.035,0.67,0.878,0.98,0.14,0.1,1
33.1,Fog,0.567,0.42,0.413,0.0,0.02,0.0,0
60.9,Fog,0.521,0.353,0.398,0.01,0.04,0.0,0
42.1,Rain,0.67,0.373,0.423,0.01,0.0,0.0,0
60.1,Fog,0.148,0.788,0.831,0.05,0.0,0.0,0
20.5,Rain,0.974,0.069,0.045,0.0,0.04,0.04,0
42.8,Fog,0.675,0.601,0.557,0.03,0.0,0.0,0
16.8,Rain,0.773,0.531,0.611,0.0,0.06,0.0,0
64.3,Rain,0.022,0.763,0.853,0.01,0.0,0.02,0
73.5,Clear,0.563,0.416,0.421,0.02,0.02,0.07,0
77.3,Clear,0.951,0.212,0.566,0.0,0.06,0.05,0
10.3,Clear,0.703,0.294,0.389,0.14,0.11,0.0,0
23.2,Clear,0.872,0.269,0.627,0.02,0.03,0.0,0
59.4,Rain,0.608,0.413,0.359,0.0,0.0,0.0,0
25.6,Fog,0.56,0.355,0.385,0.0,0.0,0.0,0
92.4,Fog,0.192,0.769,0.777,0.05,0.01,0.01,0
17.3,Rain,0.921,0.093,0.027,0.0,0.0,0.01,0
90.2,Clear,0.915,0.301,0.643,0.02,0.0,0.0,0
44.9,Rain,0.785,0.446,0.61,0.01,0.0,0.0,0
40.4,Clear,0.879,0.305,0.65,0.0,0.01,0.0,0
10.7,Rain,0.107,0.738,0.793,0.41,0.22,0.01,0
70.8,Clear,0.584,0.567,0.246,0.26,0.03,0.0,0
70.2,Rain,0.611,0.173,0.66,0.0,0.0,0.0,0
26.7,Clear,0.852,0.313,0.596,0.0,0.03,0.0,0
50.9,Fog,0.99,0.092,0.005,0.0,0.01,0.06,0
30.3,Fog,0.166,0.729,0.818,0.11,0.1,0.0,0
8.7,Rain,0.535,0.442,0.665,0.5,0.27,0.0,0
43.7,Clear,0.604,0.639,0.645,0.0,0.05,0.0,0
43.4,Fog,0.476,0.273,0.404,0.07,0.0,0.08,0
10.1,Rain,0.617,0.26,0.424,0.3,0.02,0.1,0
58.6,Fog,0.089,0.812,0.805,0.27,0.0,0.0,0
20.9,Rain,0.875,0.346,0.614,0.03,0.04,0.01,0
59.4,Clear,0.573,0.272,0.431,0.01,0.09,0.0,0
41.2,Clear,0.166,0.628,0.894,0.25,0.08,0.0,0
50.6,Rain,0.239,0.738,0.789,0.03,0.0,0.08,0
41.8,Clear,0.612,0.267,0.341,0.06,0.0,0.01,0
12.4,Clear,0.776,0.488,0.596,0.02,0.2,0.0,0
59.6,Fog,0.025,0.828,0.768,0.07,0.08,0.0,0
23.0,Clear,0.61,0.26,0.353,0.2,0.01,0.0,0
80.4,Clear,0.224,0.674,0.561,0.04,0.01,0.01,0
29.5,Rain,0.073,0.807,0.819,0.25,0.01,0.08,0
5.8,Clear,0.002,0.779,0.79,0.99,0.95,0.01,1
51.6,Clear,0.156,0.724,0.798,0.19,0.05,0.03,0
19.0,Fog,0.083,0.768,0.762,0.6,0.22,0.0,0
80.7,Clear,0.785,0.535,0.694,0.0,0.02,0.0,0
75.7,Rain,0.904,0.273,0.635,0.0,0.05,0.0,0
43.9,Clear,0.733,0.355,0.331,0.0,0.0,0.0,0
24.3,Rain,0.193,0.678,0.817,0.49,0.05,0.0,0
67.0,Fog,0.51,0.437,0.41,0.01,0.02,0.0,0
59.5,Fog,0.564,0.289,0.367,0.0,0.01,0.05,0
67.2,Fog,0.938,0.1,0.0,0.0,0.0,0.0,0
44.0,Fog,0.022,0.883,0.895,0.8,0.07,0.0,0
85.1,Fog,0.412,0.482,0.257,0.0,0.08,0.0,0
17.1,Fog,0.72,0.554,0.6,0.0,0.16,0.0,0
33.6,Fog,0.164,0.635,0.781,0.08,0.13,0.04,0
86.0,Clear,0.734,0.284,0.439,0.01,0.0,0.01,0
45.8,Rain,0.053,0.829,0.802,0.04,0.03,0.0,0
63.8,Rain,0.355,0.448,0.284,0.0,0.0,0.04,0
65.4,Fog,0.937,0.075,0.045,0.01,0.0,0.0,0
52.9,Clear,0.017,0.747,0.774,0.49,0.01,0.03,0
27.6,Clear,0.675,0.451,0.67,0.06,0.07,0.02,0
34.0,Fog,0.974,0.239,0.578,0.01,0.09,0.02,0
10.7,Fog,0.608,0.367,0.364,0.47,0.18,0.06,0
82.4,Fog,0.528,0.244,0.145,0.0,0.0,0.0,0
37.9,Rain,0.188,0.683,0.932,0.0,0.02,0.0,0
42.8,Fog,0.582,0.385,0.312,0.0,0.05,0.0,0
39.7,Fog,0.067,0.747,0.838,0.19,0.12,0.06,0
82.4,Fog,0.764,0.639,0.652,0.0,0.0,0.0,0
93.6,Clear,0.077,0.835,0.782,0.22,0.02,0.0,0
39.3,Clear,0.045,0.818,0.882,0.9,0.12,0.03,1
60.1,Clear,0.066,0.789,0.888,0.74,0.03,0.03,0
57.2,Rain,0.964,0.298,0.562,0.0,0.0,0.0,0
27.2,Clear,0.699,0.449,0.34,0.05,0.08,0.0,0
54.6,Fog,0.085,0.704,0.839,0.37,0.0,0.03,0
62.3,Fog,0.066,0.8,0.843,0.11,0.0,0.0,0
65.3,Clear,0.744,0.296,0.345,0.03,0.02,0.0,0
10.3,Clear,0.541,0.353,0.36,0.7,0.16,0.03,0
32.7,Rain,0.947,0.067,0.0,0.0,0.02,0.03,0
36.4,Fog,0.796,0.295,0.169,0.09,0.02,0.0,0
81.6,Fog,0.654,0.296,0.28,0.0,0.02,0.02,0
33.1,Fog,0.359,0.113,0.522,0.22,0.0,0.03,0
16.4,Rain,0.009,0.856,0.783,0.82,0.02,0.0,0
38.7,Fog,0.272,0.667,0.12,0.49,0.08,0.05,0
94.0,Rain,0.972,0.044,0.026,0.0,0.0,0.06,0
92.6,Rain,0.342,0.262,0.475,0.0,0.06,0.03,0
10.5,Rain,0.257,0.357,0.451,0.84,0.01,0.03,0
26.5,Rain,0.563,0.298,0.443,0.0,0.01,0.0,0
24.1,Fog,0.286,0.352,0.139,0.73,0.0,0.05,0
93.8,Fog,0.057,0.775,0.825,0.09,0.0,0.04,0
50.5,Clear,0.771,0.576,0.567,0.0,0.02,0.0,0
65.6,Fog,0.172,0.655,0.881,0.04,0.1,0.0,0
18.5,Rain,0.031,0.806,0.781,0.91,0.07,0.0,0
49.1,Fog,0.678,0.329,0.351,0.06,0.01,0.0,0
57.6,Clear,0.215,0.697,0.889,0.32,0.0,0.02,0
29.0,Rain,0.678,0.689,0.208,0.03,0.03,0.02,0
41.3,Clear,0.025,0.815,0.753,0.92,0.09,0.0,1
87.2,Clear,0.952,0.279,0.646,0.02,0.0,0.0,0
39.0,Rain,0.157,0.663,0.771,0.06,0.0,0.0,0
80.7,Rain,0.935,0.093,0.0,0.01,0.0,0.03,0
17.7,Rain,0.638,0.346,0.39,0.08,0.02,0.01,0
